Best parameters set found on development set:

{'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 25}
0.874 (+/-0.035) for {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 25}
0.874 (+/-0.033) for {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 30}
0.878 (+/-0.035) for {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 10}
0.875 (+/-0.040) for {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 15}
0.875 (+/-0.039) for {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 20}
0.871 (+/-0.040) for {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 25}
0.874 (+/-0.046) for {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 30}
0.876 (+/-0.037) for {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 10}
0.876 (+/-0.038) for {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 15}
0.876 (+/-0.046) for {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 20}
0.873 (+/-0.042) for {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 25}
0.872 (+/-0.045) for {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 30}
0.875 (+/-0.034) for {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 10}
0.875 (+/-0.035) for {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 15}
0.876 (+/-0.033) for {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 20}
0.873 (+/-0.036) for {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 25}
0.871 (+/-0.039) for {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 30}
0.871 (+/-0.049) for {'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 10}
0.872 (+/-0.052) for {'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 15}
0.869 (+/-0.048) for {'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 20}
0.866 (+/-0.044) for {'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 25}
0.863 (+/-0.053) for {'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 30}
0.868 (+/-0.033) for {'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 10}
0.872 (+/-0.034) for {'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 15}
0.873 (+/-0.034) for {'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 20}
0.875 (+/-0.038) for {'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 25}
0.875 (+/-0.035) for {'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 30}
0.874 (+/-0.037) for {'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 10}
0.875 (+/-0.042) for {'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 15}
0.873 (+/-0.046) for {'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 20}
0.873 (+/-0.039) for {'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 25}
0.871 (+/-0.038) for {'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 30}
0.874 (+/-0.035) for {'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 10}
0.873 (+/-0.038) for {'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 15}
0.871 (+/-0.038) for {'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 20}
0.869 (+/-0.041) for {'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 25}
0.869 (+/-0.041) for {'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 30}
0.872 (+/-0.036) for {'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 10}
0.872 (+/-0.037) for {'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 15}
0.866 (+/-0.041) for {'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 20}
0.861 (+/-0.045) for {'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 25}
0.856 (+/-0.051) for {'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 30}
0.865 (+/-0.044) for {'learning_rate': 0.25, 'max_depth': 6, 'n_estimators': 10}
0.865 (+/-0.045) for {'learning_rate': 0.25, 'max_depth': 6, 'n_estimators': 15}
0.863 (+/-0.046) for {'learning_rate': 0.25, 'max_depth': 6, 'n_estimators': 20}
0.860 (+/-0.045) for {'learning_rate': 0.25, 'max_depth': 6, 'n_estimators': 25}
0.855 (+/-0.041) for {'learning_rate': 0.25, 'max_depth': 6, 'n_estimators': 30}
0.870 (+/-0.037) for {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 10}
0.872 (+/-0.031) for {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 15}
0.873 (+/-0.031) for {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 20}
0.873 (+/-0.037) for {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 25}
0.875 (+/-0.037) for {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 30}
0.875 (+/-0.047) for {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 10}
0.872 (+/-0.047) for {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 15}
0.870 (+/-0.053) for {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 20}
0.870 (+/-0.048) for {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 25}
0.872 (+/-0.049) for {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 30}
0.874 (+/-0.041) for {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 10}
0.875 (+/-0.042) for {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 15}
0.872 (+/-0.049) for {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 20}
0.870 (+/-0.049) for {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 25}
0.870 (+/-0.055) for {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 30}
0.869 (+/-0.037) for {'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 10}
0.867 (+/-0.033) for {'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 15}
0.863 (+/-0.037) for {'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 20}
0.858 (+/-0.037) for {'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 25}
0.855 (+/-0.035) for {'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 30}
0.866 (+/-0.043) for {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 10}
0.860 (+/-0.038) for {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 15}
0.851 (+/-0.034) for {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 20}
0.848 (+/-0.030) for {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 25}
0.844 (+/-0.036) for {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 30}

Detailed classification report:

The model is trained on the full development set.
The scores are computed on the full evaluation set.

Train Time:  0.33901729300001193

Test Time:  0.0010153510000066035

Final Performance on Test Set
MSE: 0.015083798882681564

Accuracy Score: 98.49162011173185%

F1 Score: 0.9158878504672897

              precision    recall  f1-score   support

           0       0.99      0.99      0.99      1626
           1       0.94      0.90      0.92       164

   micro avg       0.98      0.98      0.98      1790
   macro avg       0.96      0.95      0.95      1790
weighted avg       0.98      0.98      0.98      1790


