Best parameters set found on development set:

{'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 30}
0.703 (+/-0.067) for {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 25}
0.703 (+/-0.062) for {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 30}
0.691 (+/-0.066) for {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 10}
0.708 (+/-0.055) for {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 15}
0.715 (+/-0.046) for {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 20}
0.721 (+/-0.047) for {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 25}
0.725 (+/-0.050) for {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 30}
0.708 (+/-0.078) for {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 10}
0.710 (+/-0.048) for {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 15}
0.727 (+/-0.044) for {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 20}
0.734 (+/-0.040) for {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 25}
0.737 (+/-0.033) for {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 30}
0.705 (+/-0.072) for {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 10}
0.724 (+/-0.067) for {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 15}
0.739 (+/-0.057) for {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 20}
0.741 (+/-0.067) for {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 25}
0.749 (+/-0.069) for {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 30}
0.708 (+/-0.064) for {'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 10}
0.726 (+/-0.048) for {'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 15}
0.738 (+/-0.049) for {'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 20}
0.747 (+/-0.049) for {'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 25}
0.754 (+/-0.043) for {'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 30}
0.672 (+/-0.092) for {'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 10}
0.690 (+/-0.060) for {'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 15}
0.701 (+/-0.062) for {'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 20}
0.709 (+/-0.058) for {'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 25}
0.715 (+/-0.057) for {'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 30}
0.696 (+/-0.065) for {'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 10}
0.714 (+/-0.060) for {'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 15}
0.722 (+/-0.062) for {'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 20}
0.725 (+/-0.060) for {'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 25}
0.731 (+/-0.060) for {'learning_rate': 0.25, 'max_depth': 3, 'n_estimators': 30}
0.707 (+/-0.061) for {'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 10}
0.720 (+/-0.052) for {'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 15}
0.727 (+/-0.056) for {'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 20}
0.737 (+/-0.052) for {'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 25}
0.738 (+/-0.052) for {'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 30}
0.716 (+/-0.059) for {'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 10}
0.728 (+/-0.070) for {'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 15}
0.746 (+/-0.066) for {'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 20}
0.752 (+/-0.068) for {'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 25}
0.756 (+/-0.067) for {'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 30}
0.716 (+/-0.057) for {'learning_rate': 0.25, 'max_depth': 6, 'n_estimators': 10}
0.732 (+/-0.048) for {'learning_rate': 0.25, 'max_depth': 6, 'n_estimators': 15}
0.748 (+/-0.035) for {'learning_rate': 0.25, 'max_depth': 6, 'n_estimators': 20}
0.746 (+/-0.034) for {'learning_rate': 0.25, 'max_depth': 6, 'n_estimators': 25}
0.755 (+/-0.041) for {'learning_rate': 0.25, 'max_depth': 6, 'n_estimators': 30}
0.688 (+/-0.056) for {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 10}
0.703 (+/-0.053) for {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 15}
0.710 (+/-0.067) for {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 20}
0.712 (+/-0.053) for {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 25}
0.723 (+/-0.056) for {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 30}
0.704 (+/-0.060) for {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 10}
0.718 (+/-0.054) for {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 15}
0.731 (+/-0.060) for {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 20}
0.737 (+/-0.063) for {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 25}
0.733 (+/-0.060) for {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 30}
0.718 (+/-0.057) for {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 10}
0.735 (+/-0.037) for {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 15}
0.743 (+/-0.054) for {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 20}
0.745 (+/-0.065) for {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 25}
0.751 (+/-0.055) for {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 30}
0.715 (+/-0.070) for {'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 10}
0.724 (+/-0.057) for {'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 15}
0.741 (+/-0.046) for {'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 20}
0.741 (+/-0.050) for {'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 25}
0.740 (+/-0.042) for {'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 30}
0.724 (+/-0.067) for {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 10}
0.740 (+/-0.058) for {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 15}
0.741 (+/-0.038) for {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 20}
0.750 (+/-0.033) for {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 25}
0.756 (+/-0.031) for {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 30}

Detailed classification report:

The model is trained on the full development set.
The scores are computed on the full evaluation set.

Train Time:  0.18705902499999993

Test Time:  0.0008409849999999608

Final Performance on Test Set
MSE: 0.09563758389261745

Accuracy Score: 90.43624161073825%

F1 Score: 0.7466666666666667

              precision    recall  f1-score   support

           0       0.93      0.95      0.94       477
           1       0.79      0.71      0.75       119

   micro avg       0.90      0.90      0.90       596
   macro avg       0.86      0.83      0.84       596
weighted avg       0.90      0.90      0.90       596


