Best parameters set found on development set:

{'alpha': 0.0001, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.855 (+/-0.025) for {'alpha': 0.01, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 1}
0.857 (+/-0.030) for {'alpha': 0.01, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 0}
0.855 (+/-0.025) for {'alpha': 0.01, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 1}
0.858 (+/-0.029) for {'alpha': 0.01, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.019) for {'alpha': 0.01, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 1}
0.858 (+/-0.029) for {'alpha': 0.01, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.019) for {'alpha': 0.01, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 1}
0.859 (+/-0.033) for {'alpha': 0.01, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 0}
0.848 (+/-0.029) for {'alpha': 0.01, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 1}
0.859 (+/-0.033) for {'alpha': 0.01, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 0}
0.848 (+/-0.029) for {'alpha': 0.01, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 1}
0.865 (+/-0.027) for {'alpha': 0.01, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 0}
0.856 (+/-0.028) for {'alpha': 0.01, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 1}
0.865 (+/-0.027) for {'alpha': 0.01, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 0}
0.856 (+/-0.028) for {'alpha': 0.01, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 1}
0.868 (+/-0.028) for {'alpha': 0.01, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.036) for {'alpha': 0.01, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 1}
0.868 (+/-0.028) for {'alpha': 0.01, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.036) for {'alpha': 0.01, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 1}
0.857 (+/-0.039) for {'alpha': 0.01, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 0}
0.863 (+/-0.031) for {'alpha': 0.01, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 1}
0.857 (+/-0.039) for {'alpha': 0.01, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 0}
0.863 (+/-0.031) for {'alpha': 0.01, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 1}
0.859 (+/-0.036) for {'alpha': 0.01, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 0}
0.864 (+/-0.033) for {'alpha': 0.01, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 1}
0.859 (+/-0.036) for {'alpha': 0.01, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 0}
0.864 (+/-0.033) for {'alpha': 0.01, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 1}
0.869 (+/-0.022) for {'alpha': 0.01, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.864 (+/-0.027) for {'alpha': 0.01, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 1}
0.869 (+/-0.022) for {'alpha': 0.01, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 0}
0.864 (+/-0.027) for {'alpha': 0.01, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 1}
0.858 (+/-0.029) for {'alpha': 0.01, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 0}
0.855 (+/-0.018) for {'alpha': 0.01, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 1}
0.858 (+/-0.029) for {'alpha': 0.01, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 0}
0.855 (+/-0.018) for {'alpha': 0.01, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 1}
0.862 (+/-0.025) for {'alpha': 0.01, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.032) for {'alpha': 0.01, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 1}
0.862 (+/-0.025) for {'alpha': 0.01, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.032) for {'alpha': 0.01, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 0.001, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 0.001, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 0.001, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 0.001, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 1}
0.866 (+/-0.036) for {'alpha': 0.001, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.026) for {'alpha': 0.001, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 1}
0.866 (+/-0.036) for {'alpha': 0.001, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.026) for {'alpha': 0.001, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 1}
0.859 (+/-0.033) for {'alpha': 0.001, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 0}
0.849 (+/-0.034) for {'alpha': 0.001, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 1}
0.859 (+/-0.033) for {'alpha': 0.001, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 0}
0.849 (+/-0.034) for {'alpha': 0.001, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 0.001, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 0}
0.855 (+/-0.033) for {'alpha': 0.001, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 0.001, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 0}
0.855 (+/-0.033) for {'alpha': 0.001, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 1}
0.865 (+/-0.031) for {'alpha': 0.001, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 0}
0.856 (+/-0.031) for {'alpha': 0.001, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 1}
0.865 (+/-0.031) for {'alpha': 0.001, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 0}
0.856 (+/-0.031) for {'alpha': 0.001, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 1}
0.850 (+/-0.053) for {'alpha': 0.001, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 0}
0.867 (+/-0.036) for {'alpha': 0.001, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 1}
0.850 (+/-0.053) for {'alpha': 0.001, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 0}
0.867 (+/-0.036) for {'alpha': 0.001, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 1}
0.864 (+/-0.032) for {'alpha': 0.001, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.027) for {'alpha': 0.001, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 1}
0.864 (+/-0.032) for {'alpha': 0.001, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.027) for {'alpha': 0.001, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 1}
0.870 (+/-0.027) for {'alpha': 0.001, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.864 (+/-0.037) for {'alpha': 0.001, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 1}
0.870 (+/-0.027) for {'alpha': 0.001, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 0}
0.864 (+/-0.037) for {'alpha': 0.001, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 1}
0.856 (+/-0.031) for {'alpha': 0.001, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 0}
0.858 (+/-0.026) for {'alpha': 0.001, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 1}
0.856 (+/-0.031) for {'alpha': 0.001, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 0}
0.858 (+/-0.026) for {'alpha': 0.001, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 1}
0.860 (+/-0.026) for {'alpha': 0.001, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 0}
0.860 (+/-0.032) for {'alpha': 0.001, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 1}
0.860 (+/-0.026) for {'alpha': 0.001, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 0}
0.860 (+/-0.032) for {'alpha': 0.001, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 0.0001, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 0.0001, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 0.0001, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 0.0001, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 1}
0.861 (+/-0.028) for {'alpha': 0.0001, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 0.0001, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 1}
0.861 (+/-0.028) for {'alpha': 0.0001, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 0.0001, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 0.0001, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 0}
0.850 (+/-0.036) for {'alpha': 0.0001, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 0.0001, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 0}
0.850 (+/-0.036) for {'alpha': 0.0001, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 1}
0.868 (+/-0.030) for {'alpha': 0.0001, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 0}
0.860 (+/-0.027) for {'alpha': 0.0001, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 1}
0.868 (+/-0.030) for {'alpha': 0.0001, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 0}
0.860 (+/-0.027) for {'alpha': 0.0001, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 1}
0.865 (+/-0.031) for {'alpha': 0.0001, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.028) for {'alpha': 0.0001, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 1}
0.865 (+/-0.031) for {'alpha': 0.0001, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.028) for {'alpha': 0.0001, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 1}
0.850 (+/-0.054) for {'alpha': 0.0001, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 0}
0.868 (+/-0.036) for {'alpha': 0.0001, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 1}
0.850 (+/-0.054) for {'alpha': 0.0001, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 0}
0.868 (+/-0.036) for {'alpha': 0.0001, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 1}
0.863 (+/-0.028) for {'alpha': 0.0001, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 0}
0.862 (+/-0.027) for {'alpha': 0.0001, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 1}
0.863 (+/-0.028) for {'alpha': 0.0001, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 0}
0.862 (+/-0.027) for {'alpha': 0.0001, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 1}
0.871 (+/-0.027) for {'alpha': 0.0001, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.033) for {'alpha': 0.0001, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 1}
0.871 (+/-0.027) for {'alpha': 0.0001, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.033) for {'alpha': 0.0001, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 1}
0.856 (+/-0.030) for {'alpha': 0.0001, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 0}
0.853 (+/-0.027) for {'alpha': 0.0001, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 1}
0.856 (+/-0.030) for {'alpha': 0.0001, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 0}
0.853 (+/-0.027) for {'alpha': 0.0001, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 1}
0.862 (+/-0.026) for {'alpha': 0.0001, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.030) for {'alpha': 0.0001, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 1}
0.862 (+/-0.026) for {'alpha': 0.0001, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.030) for {'alpha': 0.0001, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 1e-05, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 1e-05, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 1e-05, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 1e-05, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 1}
0.867 (+/-0.036) for {'alpha': 1e-05, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 1e-05, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 1}
0.867 (+/-0.036) for {'alpha': 1e-05, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 1e-05, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 1e-05, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 0}
0.858 (+/-0.036) for {'alpha': 1e-05, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 1e-05, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 0}
0.858 (+/-0.036) for {'alpha': 1e-05, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 1e-05, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 0}
0.856 (+/-0.023) for {'alpha': 1e-05, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 1e-05, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 0}
0.856 (+/-0.023) for {'alpha': 1e-05, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 1}
0.865 (+/-0.030) for {'alpha': 1e-05, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.030) for {'alpha': 1e-05, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 1}
0.865 (+/-0.030) for {'alpha': 1e-05, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.030) for {'alpha': 1e-05, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 1}
0.850 (+/-0.055) for {'alpha': 1e-05, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 0}
0.865 (+/-0.034) for {'alpha': 1e-05, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 1}
0.850 (+/-0.055) for {'alpha': 1e-05, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 0}
0.865 (+/-0.034) for {'alpha': 1e-05, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 1}
0.861 (+/-0.028) for {'alpha': 1e-05, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.026) for {'alpha': 1e-05, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 1}
0.861 (+/-0.028) for {'alpha': 1e-05, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.026) for {'alpha': 1e-05, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 1}
0.870 (+/-0.027) for {'alpha': 1e-05, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.862 (+/-0.033) for {'alpha': 1e-05, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 1}
0.870 (+/-0.027) for {'alpha': 1e-05, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 0}
0.862 (+/-0.033) for {'alpha': 1e-05, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 1}
0.856 (+/-0.031) for {'alpha': 1e-05, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 0}
0.851 (+/-0.029) for {'alpha': 1e-05, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 1}
0.856 (+/-0.031) for {'alpha': 1e-05, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 0}
0.851 (+/-0.029) for {'alpha': 1e-05, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 1}
0.860 (+/-0.024) for {'alpha': 1e-05, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.037) for {'alpha': 1e-05, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 1}
0.860 (+/-0.024) for {'alpha': 1e-05, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.037) for {'alpha': 1e-05, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 1e-06, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 1e-06, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 1e-06, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 1e-06, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 1}
0.865 (+/-0.036) for {'alpha': 1e-06, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 1e-06, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 1}
0.865 (+/-0.036) for {'alpha': 1e-06, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 1e-06, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 1e-06, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.038) for {'alpha': 1e-06, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 1e-06, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.038) for {'alpha': 1e-06, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 1e-06, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 0}
0.855 (+/-0.023) for {'alpha': 1e-06, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 1e-06, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 0}
0.855 (+/-0.023) for {'alpha': 1e-06, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 1}
0.865 (+/-0.030) for {'alpha': 1e-06, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.030) for {'alpha': 1e-06, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 1}
0.865 (+/-0.030) for {'alpha': 1e-06, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.030) for {'alpha': 1e-06, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 1}
0.850 (+/-0.055) for {'alpha': 1e-06, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 0}
0.866 (+/-0.038) for {'alpha': 1e-06, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 1}
0.850 (+/-0.055) for {'alpha': 1e-06, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 0}
0.866 (+/-0.038) for {'alpha': 1e-06, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 1}
0.862 (+/-0.028) for {'alpha': 1e-06, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 0}
